anchor_date,route,horizon_days,model,mae,rmse,wmape
2017-07-25,DME-KUF,14,naive_last,21.285715103149414,24.84523506764237,0.15173116326332092
2017-07-25,DME-KUF,14,seasonal7,21.428571701049805,25.67934167511285,0.15274949371814728
2017-07-25,DME-KZN,1,timesfm,15.667694091796875,15.667694112215278,0.11191210150718689
2017-07-25,DME-KZN,1,naive_last,6.0,6.0,0.04285714402794838
2017-07-25,DME-KZN,1,seasonal7,34.0,34.0,0.24285714328289032
2017-07-25,DME-KZN,7,timesfm,17.031322479248047,18.457552489333043,0.11300402879714966
2017-07-25,DME-KZN,7,naive_last,12.428571701049805,14.13708411295614,0.08246445655822754
2017-07-25,DME-KZN,7,seasonal7,19.571428298950195,21.15588432683424,0.12985782325267792
2017-07-25,DME-KZN,14,timesfm,14.253487586975098,16.530630637322282,0.09426019340753555
2017-07-25,DME-KZN,14,naive_last,11.785714149475098,13.604095941722903,0.07794047892093658
2017-07-25,DME-KZN,14,seasonal7,16.071428298950195,17.962261906096433,0.10628247261047363
2017-07-25,DME-LED,1,timesfm,12.074310302734375,12.07431037149806,0.05390316992998123
2017-07-25,DME-LED,1,naive_last,23.0,23.0,0.1026785746216774
2017-07-25,DME-LED,1,seasonal7,9.0,9.0,0.0401785708963871
2017-07-25,DME-LED,7,timesfm,10.164387702941895,13.858476026897256,0.052393749356269836
2017-07-25,DME-LED,7,naive_last,16.14285659790039,18.504825272063755,0.08321060240268707
2017-07-25,DME-LED,7,seasonal7,11.571428298950195,14.42715678098783,0.05964653939008713
2017-07-25,DME-LED,14,timesfm,16.506925582885742,19.77860477352003,0.07922418415546417
2017-07-25,DME-LED,14,naive_last,18.928571701049805,21.442614242820447,0.09084676206111908
2017-07-25,DME-LED,14,seasonal7,17.785715103149414,21.723916735929766,0.08536167442798615
2017-07-25,DME-OVB,1,timesfm,6.1240234375,6.12402335963662,0.017854295670986176
2017-07-25,DME-OVB,1,naive_last,24.0,24.0,0.06997084617614746
2017-07-25,DME-OVB,1,seasonal7,5.0,5.0,0.014577259309589863
2017-07-25,DME-OVB,7,timesfm,25.899675369262695,30.53789130204935,0.07643242925405502
2017-07-25,DME-OVB,7,naive_last,31.285715103149414,35.63906315078477,0.09232714772224426
2017-07-25,DME-OVB,7,seasonal7,27.428571701049805,38.96885180670342,0.08094435185194016
2017-07-25,DME-OVB,14,timesfm,23.77675437927246,29.951182000426233,0.06926228851079941
2017-07-25,DME-OVB,14,naive_last,31.571428298950195,35.63705936241092,0.09196837246417999
2017-07-25,DME-OVB,14,seasonal7,25.428571701049805,35.7451288065722,0.07407407462596893
2017-07-25,IKT-LED,1,timesfm,2.970855712890625,2.9708557691614157,0.021685078740119934
2017-07-25,IKT-LED,1,naive_last,8.0,8.0,0.058394160121679306
2017-07-25,IKT-LED,1,seasonal7,4.0,4.0,0.029197080060839653
2017-07-25,IKT-LED,7,timesfm,9.192753791809082,10.841014857909478,0.06402912735939026
2017-07-25,IKT-LED,7,naive_last,8.571428298950195,9.365590574234986,0.05970149114727974
2017-07-25,IKT-LED,7,seasonal7,6.285714149475098,6.6332495807108,0.0437810942530632
2017-07-25,IKT-LED,14,timesfm,12.825592994689941,16.812466419285702,0.08902245759963989
2017-07-25,IKT-LED,14,naive_last,11.642857551574707,14.964243168580175,0.08081308752298355
2017-07-25,IKT-LED,14,seasonal7,13.357142448425293,16.52487342312765,0.09271194785833359
2017-07-25,KHV-DME,1,timesfm,3.218353271484375,3.218353247031883,0.01658944971859455
2017-07-25,KHV-DME,1,naive_last,36.0,36.0,0.1855670064687729
2017-07-25,KHV-DME,1,seasonal7,42.0,42.0,0.2164948433637619
2017-07-25,KHV-DME,7,timesfm,14.794318199157715,17.794526465156093,0.07370834797620773
2017-07-25,KHV-DME,7,naive_last,29.285715103149414,33.37877802235464,0.1459074765443802
2017-07-25,KHV-DME,7,seasonal7,34.85714340209961,37.754848547798304,0.17366547882556915
2017-07-25,KHV-DME,14,timesfm,13.656365394592285,16.793434422334986,0.06897154450416565
2017-07-25,KHV-DME,14,naive_last,32.0,35.282533607074974,0.16161616146564484
2017-07-25,KHV-DME,14,seasonal7,31.714284896850586,36.1267604728908,0.16017316281795502
2017-07-25,KRR-DME,1,timesfm,35.49462890625,35.49462849986953,0.2553570568561554
2017-07-25,KRR-DME,1,naive_last,53.0,53.0,0.38129496574401855
2017-07-25,KRR-DME,1,seasonal7,38.0,38.0,0.2733812928199768
2017-07-25,KRR-DME,7,timesfm,18.074674606323242,23.227157692928927,0.10219928622245789
